Horodateur,origin,city,country,way_in,way_out,green.grant,lon.city,lat.city,destination,destinationlon,destinationlat,distance_km,lon.country,lat.country,distance.country,inkg.km,outkg.km,inkg,outkg,kgtotal
04/12/2019 10:48:56,Thessaloniki (Greece),Thessaloniki ,Greece,Plane,Plane,NA,22.9444191,40.6400629,Paris (France),2.3619747,48.8354373,1857.1997505793515,21.824312,39.074208,1891.9957566703085,0.25,0.25,464.2999376448379,464.2999376448379,928.5998752896758
04/12/2019 10:49:41,Braga (Portugal),Braga ,Portugal,Plane,Plane,NA,-8.426506999999999,41.5454486,Paris (France),2.3619747,48.8354373,1170.4510035362173,-8.224454,39.39987199999999,1346.0569230855483,0.25,0.25,292.6127508840543,292.6127508840543,585.2255017681086
04/12/2019 10:53:18,Birmingham (UK),Birmingham ,UK,Plane,Plane,NA,-1.890401,52.48624299999999,Paris (France),2.3619747,48.8354373,504.9946416913388,-3.435973,55.378051,828.5497420506365,0.25,0.25,126.2486604228347,126.2486604228347,252.4973208456694
04/12/2019 10:53:57,Oldenburg (Germany),Oldenburg ,Germany,Plane,Train,NA,8.214552099999999,53.1434501,Paris (France),2.3619747,48.8354373,630.582993598658,10.451526,51.165691,633.8572778308848,0.25,0.00506,157.6457483996645,3.19074994760921,160.83649834727373
04/12/2019 10:54:46,Geneva (Switzerland),Geneva ,Switzerland,Train,Train,NA,6.1431577,46.2043907,Paris (France),2.3619747,48.8354373,408.0515703657236,8.227511999999999,46.818188,492.35430030274244,0.00506,0.00506,2.0647409460505615,2.0647409460505615,4.129481892101123
04/12/2019 10:57:20,Strasbourg (France),Strasbourg ,France,Train,Train,NA,7.752111299999999,48.5734053,Paris (France),2.3619747,48.8354373,396.9731852256607,2.213749,46.227638,290.51241838385585,0.00506,0.00506,2.008684317241843,2.008684317241843,4.017368634483686
04/12/2019 10:58:27,Leipzig (Germany),Leipzig ,Germany,Plane,Plane,NA,12.3730747,51.3396955,Paris (France),2.3619747,48.8354373,766.6783136269333,10.451526,51.165691,633.8572778308848,0.25,0.25,191.66957840673334,191.66957840673334,383.3391568134667
04/12/2019 11:00:16,Amsterdam (Netherlands),Amsterdam ,Netherlands,Train,Train,NA,4.8945398,52.3666969,Paris (France),2.3619747,48.8354373,431.8423604109745,5.291265999999999,52.132633,421.54591621132914,0.00506,0.00506,2.185122343679531,2.185122343679531,4.370244687359062
04/12/2019 11:03:30,Madrid (Spain),Madrid ,Spain,Plane,Plane,NA,-3.7037902,40.4167754,Paris (France),2.3619747,48.8354373,1052.369140851437,-3.74922,40.46366700000001,1049.2841188623677,0.25,0.25,263.0922852128592,263.0922852128592,526.1845704257184
04/12/2019 11:11:55,Lyon (France),Lyon ,France,Train,Train,NA,4.835659,45.764043,Paris (France),2.3619747,48.8354373,389.528987433418,2.213749,46.227638,290.51241838385585,0.00506,0.00506,1.9710166764130954,1.9710166764130954,3.942033352826191
